2024-08-06 12:33:08 INFO  LogHelper:31 - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-08-06 12:33:09 INFO  Version:44 - HHH000412: Hibernate ORM core version 5.6.14.Final
2024-08-06 12:33:09 INFO  Version:56 - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2024-08-06 12:33:09 INFO  HikariDataSource:110 - HikariPool-1 - Starting...
2024-08-06 12:33:10 INFO  HikariDataSource:123 - HikariPool-1 - Start completed.
2024-08-06 12:33:10 INFO  Dialect:175 - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2024-08-06 12:33:11 INFO  JtaPlatformInitiator:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-08-06 12:33:11 INFO  LocalContainerEntityManagerFactoryBean:437 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-08-06 12:33:12 WARN  JpaBaseConfiguration$JpaWebConfiguration:219 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-08-06 12:33:12 INFO  DefaultSecurityFilterChain:55 - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2a9fd482, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7ca2319f, org.springframework.security.web.context.SecurityContextPersistenceFilter@4fcb796f, org.springframework.security.web.header.HeaderWriterFilter@c7aac7c, org.springframework.security.web.csrf.CsrfFilter@49dacc93, org.springframework.security.web.authentication.logout.LogoutFilter@360d0c7a, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4628f386, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@66c91224, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4ffcb1bd, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@74fda9ed, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@653a5a, org.springframework.security.web.session.SessionManagementFilter@6037748a, org.springframework.security.web.access.ExceptionTranslationFilter@7e9ea888, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@624268ab]
2024-08-06 12:33:13 INFO  Http11NioProtocol:173 - Starting ProtocolHandler ["http-nio-8001"]
2024-08-06 12:33:13 INFO  TomcatWebServer:220 - Tomcat started on port(s): 8001 (http) with context path ''
2024-08-06 12:33:13 INFO  AccountingApplication:61 - Started AccountingApplication in 9.694 seconds (JVM running for 11.727)
2024-08-06 12:33:13 INFO  AccountingApplication:61 - Started AccountingApplication in 9.694 seconds (JVM running for 11.727)
